province_id,province_name,state_name,capital_city,agriculture_base,commerce_base,population_base,loyalty_base,defense_base,faction_initial,prefect_initial,sub_cities
changshan,常山郡,冀州,真定,350,300,42000,65,450,yuan_shao,韩珩,"石门,灵寿,九门,井陉,蒲吾,南行唐"
julu,巨鹿郡,冀州,瘿陶,380,280,55000,55,400,zhang_jiao,郭典,"下曲阳,杨氏,廮陶,平乡,南䜌,广宗"
yecheng,魏郡,冀州,邺城,500,600,80000,60,700,yuan_shao,审配,"内黄,黎阳,繁阳,阴安,魏县,斥丘"
beihai,北海郡,青州,剧县,320,420,38000,70,350,kong_rong,太史慈,"都昌,营陵,平寿,高密,壮武,下密"
donglai,东莱郡,青州,黄县,280,480,30000,65,300,liu_bei,太史慈,"掖县,曲成,当利,牟平,昌阳,不其"
chenliu,陈留郡,兖州,陈留,400,350,50000,60,500,cao_cao,张邈,"己吾,襄邑,外黄,雍丘,尉氏,考城"
yingchuan,颍川郡,豫州,阳翟,350,300,48000,65,400,han_fu,韩馥,"长社,郾县,昆阳,定陵,新汲,郏县"
runan,汝南郡,豫州,平舆,420,380,65000,55,450,yuan_shu,袁术,"新蔡,汝阴,南顿,项县,灈阳,吴房"
nanyang,南阳郡,荆州,宛城,500,550,90000,50,600,liu_biao,张绣,"新野,穰县,叶县,雉县,冠军,朝阳"
xiangyang,襄阳郡,荆州,襄阳,450,500,60000,65,550,liu_biao,蒯越,"樊城,中庐,临沮,编县,宜城,黎丘"
jiangling,南郡,荆州,江陵,380,400,45000,60,450,liu_biao,刘磐,"夷陵,秭归,巫县,夷道,华容,当阳"
changsha,长沙郡,荆州,临湘,350,380,52000,55,350,liu_biao,黄忠,"下隽,罗县,醴陵,益阳,攸县,容陵"
wuling,武陵郡,荆州,临沅,280,250,35000,50,300,jin_xuan,金旋,"汉寿,沅南,迁陵,酉阳,零阳,充县"
lingling,零陵郡,荆州,泉陵,250,300,32000,55,280,liu_du,刘度,"洮阳,始安,营浦,泠道,营道,观阳"
hanzhong,汉中郡,益州,南郑,400,350,48000,60,500,zhang_lu,张鲁,"成固,沔阳,褒中,西县,上庸,房陵"
chengdu,蜀郡,益州,成都,550,600,85000,70,650,liu_yan,刘璋,"郫县,繁县,江原,临邛,广都,新都"
wudu,武都郡,凉州,下辨,250,200,20000,45,350,ma_teng,马超,"上禄,河池,故道,沮县,羌道,武都道"
tianshui,天水郡,凉州,冀县,280,250,30000,50,400,ma_teng,马腾,"上邽,陇县,成纪,街泉,阿阳,望垣"
wuzhangyuan,长安/京兆,雍州,长安,600,550,100000,55,800,li_jue,李傕,"临晋,冯翊,霸陵,蓝田,杜陵,新丰"
hongnong,弘农郡,司隶,弘农,300,350,35000,55,450,cao_cao,曹仁,"华阴,湖县,卢氏,陕县,黾池,新安"
hedong,河东郡,司隶,安邑,350,380,42000,60,400,cao_cao,夏侯惇,"闻喜,绛邑,临汾,北屈,蒲坂,解县"
luoyang,河南郡,司隶,洛阳,550,650,95000,50,500,dong_zhuo,董卓,"成皋,荥阳,缑氏,新安,巩县,偃师"
jianye,丹阳郡,扬州,建业,400,500,55000,65,450,sun_quan,孙权,"秣陵,江乘,句容,芜湖,溧阳,石城"
wujun,吴郡,扬州,吴县,450,550,58000,70,400,sun_ce,孙坚,"嘉兴,海盐,由拳,富春,娄县,钱唐"
kuaiji,会稽郡,扬州,山阴,380,450,48000,65,380,wang_lang,王朗,"上虞,余姚,句章,鄞县,剡县,诸暨"
lujiang,庐江郡,扬州,舒县,350,380,42000,60,400,sun_ce,周瑜,"皖县,安丰,潜县,灊县,龙舒,蓼县"
jiangxia,江夏郡,荆州,西陵,320,420,38000,55,350,huang_zu,黄祖,"竟陵,云杜,安陆,南新市,鄳县,鄂县"
shu,巴郡,益州,江州,350,400,45000,55,380,liu_yan,严颜,"垫江,临江,枳县,涪陵,宕渠,阆中"
jianning,建宁郡,益州,味县,250,300,28000,45,300,meng_huo,孟获,"滇池,弄栋,云南,叶榆,比苏,不韦"
pengcheng,彭城郡,徐州,彭城,380,450,45000,60,420,tao_qian,陶谦,"留县,傅阳,武原,吕县,梧县,甾丘"
xiapi,下邳郡,徐州,下邳,400,420,48000,55,450,liu_bei,刘备,"淮陵,徐县,僮县,淮浦,曲阳,司吾"
guangling,广陵郡,徐州,广陵,350,380,38000,60,350,tao_qian,陈登,"海陵,江都,高邮,堂邑,舆县,射阳"
nanhai,南海郡,交州,番禺,300,550,30000,45,300,shi_xie,士燮,"博罗,龙川,四会,中宿,高要,揭阳"
